decision,access_string
0,73816 33473 2 33265 4 33541 6 33280 8 33268 33296 33270 18396
0,70462 34887 2 33265 4 33307 6 33280 8 33268 33455 33270 21395
0,67572 39152 2 33265 4 34517 6 33494 8 33268 33313 33270 3124
0,55481 33543 33521 33544 33523 33545 6 34903 8 33268 33290 33270 18988
0,70168 43720 33426 33675 33428 35374 6 33622 8 9 33290 33604 10875
0,64932 39914 2 3 4 33266 6 7 8 9 33269 11 13304
0,72456 34174 2 33265 4 33279 6 33280 8 33268 33296 33270 16294
0,78165 38677 2 33265 4 33307 6 33280 8 33268 33296 33270 11294
0,53688 36023 2 3 4 33438 6 33336 8 33275 33313 11 3767
0,74721 34697 33416 33265 33418 34208 6 74722 8 33268 34210 33270 18097
0,69789 34128 2 33265 4 33307 6 33280 8 33268 33296 33270 19595
0,75894 34128 2 33265 4 33307 6 33280 8 33268 33296 33270 17649
0,64870 33632 2 33265 4 33273 6 33280 8 33268 33269 33270 23456
0,55200 33575 2 33265 4 33307 6 33280 8 33268 33313 33270 24676
0,69704 34074 2 33265 4 33307 6 33280 8 33268 33296 33270 29132
0,73744 42427 33416 33476 33418 36487 6 33518 8 9 33290 33430 27201
0,48810 38663 2 33265 4 33553 6 34226 8 33268 33296 33270 23750
0,38316 35534 2 33265 4 33307 6 33280 8 33268 33455 33270 15869
0,43242 34160 2 33265 4 33307 6 33280 8 33268 33455 33270 3795
0,62572 36810 2 3 4 33279 6 33336 8 33275 33269 11 14952
0,53807 34095 2 3 4 33279 6 33336 8 33275 33455 11 21581
0,51030 34697 33416 33265 33418 34208 6 33270 8 33268 34210 33270 15477
0,60911 48780 33416 34542 33418 37155 6 40303 33421 33289 33422 33430 21081
0,64725 33646 2 33265 4 33307 6 33280 8 33268 33269 33270 17205
0,43301 42814 2 3 4 5 6 43302 8 33431 10 11 32037
0,75196 33772 2 3 4 33307 6 33336 8 33275 33269 11 2372
0,63030 49007 33357 33458 33359 33517 6 33691 8 33289 33290 33430 26124
0,71164 34460 2 3 4 33307 6 33336 8 33275 33269 11 21482
0,55958 34291 2 33265 4 33307 6 33280 8 33268 33276 33270 24948
0,74650 33959 2 3 4 33279 6 33336 8 33275 33455 11 30181
0,66974 35451 2 33365 4 33366 6 36904 8 33368 33408 33370 8454
0,35010 34051 2 33265 4 33279 6 33280 8 33268 33296 33270 19158
0,74913 35484 2 3 4 33279 6 33336 8 33275 33276 11 8523
0,58583 58584 2 3 4 33266 6 34918 8 33431 33269 11 13873
0,48776 43701 33316 34024 33317 34480 6 33691 8 33289 33290 33430 8591
0,76495 33543 33521 33544 33523 33545 6 37964 8 33268 33290 33270 22300
0,49503 38244 2 3 4 33307 6 33489 8 33275 33313 11 26992
0,57449 48882 33357 33458 33359 34163 6 57450 8 33431 33290 600 11255
0,55974 55975 33283 33885 33285 33350 6 40456 55976 33431 33290 33291 24541
0,74357 33543 33521 33544 33523 33545 6 40204 8 33268 33290 33270 26397
0,37165 37166 2 33730 4 34251 6 33518 8 33431 33290 33430 24464
0,49516 49517 33283 33975 33285 38398 6 49518 8 33431 33976 33423 26450
0,54468 34703 2 3 4 33279 6 33489 8 33275 33313 11 5156
0,76007 34520 2 33265 4 33294 6 33333 8 33268 33296 33270 27982
0,68494 33510 2 33265 4 33307 6 33280 8 33268 33269 33270 22318
0,38420 35029 2 3 4 33307 6 33336 8 33275 33313 11 5379
0,56613 37318 2 33265 4 33266 6 56614 8 33268 33269 33270 16370
0,50964 47725 33283 33975 33285 33976 6 47726 8 33309 33976 11 12123
0,67258 60574 2 34012 4 33568 6 67259 8 33431 33296 33526 4393
0,39420 39253 33416 33614 33418 33615 6 39421 8 33431 33617 33618 8898
0,51430 33727 2 33265 4 33279 6 33280 8 33268 33269 33270 22938
0,47605 34079 33521 33544 33523 33545 6 47428 8 33268 33290 33270 3871
0,47281 34643 2 33265 4 34644 6 36365 8 33268 33439 33270 32070
0,44506 38912 33316 33385 33317 35768 6 40427 8 33268 33290 33270 10694
0,71516 35090 2 33265 4 33307 6 33280 8 33268 33296 33270 31408
0,50421 36651 2 33265 4 33438 6 33280 8 33268 33269 33270 16959
0,49082 49083 33416 34279 33418 34280 6 33603 8 33431 33422 33604 19844
0,68126 33890 2 33265 4 33307 6 33280 8 33268 33296 33270 27626
0,65234 65235 2 3 4 33453 6 7 8 9 33455 11 7900
0,62515 51564 33426 33927 33428 51565 6 33691 8 33289 33290 33430 30687
0,48120 33306 2 3 4 33273 6 33336 8 33275 33296 11 26224
0,58066 35339 2 33265 4 33375 6 35340 8 33268 33296 33270 29199
0,66756 40411 2 33768 4 33769 6 34970 8 33431 33455 33347 4691
0,71192 45608 2 33365 4 33406 6 35162 8 33289 33369 33370 9653
0,75786 37093 33299 33601 33301 34793 6 75787 8 33345 33290 33430 20787
0,54655 34960 2 33265 4 34644 6 54656 8 33268 38785 33270 9487
0,68422 34376 2 3 4 33279 6 34067 8 33275 10 11 28332
0,67127 34032 33339 33895 33341 33598 6 46502 33344 33326 33346 33430 26631
0,33687 33688 33416 33689 33418 33690 6 33691 8 33289 33290 33430 8131
0,56003 33680 33521 33544 33523 33545 6 34141 8 33268 33290 33270 25623
0,58981 33433 2 3 4 33279 6 33336 8 33275 33296 11 2263
0,37736 33680 33521 33544 33523 33545 6 34141 8 33268 33290 33270 4748
0,67130 33543 33521 33544 33523 33545 6 67131 8 33268 33904 33270 11166
0,49076 37848 2 3 4 33568 6 33569 8 33275 33570 11 31664
0,61897 37320 2 33265 4 33375 6 51916 8 33268 33296 33270 3241
0,54430 33696 2 33265 4 33279 6 33280 8 33268 33455 33270 7245
0,46532 38889 2 33365 4 33366 6 36757 8 33309 33408 33370 15369
0,69694 34095 2 3 4 33279 6 33336 8 33275 33455 11 27474
0,67557 35756 2 33365 4 33366 6 35757 8 33368 33369 33370 3034
0,62254 33543 33521 33544 33523 33545 6 34226 8 33268 33290 33270 6484
0,34211 34212 2 33265 4 33307 6 33280 8 33268 33269 33270 14992
0,67036 36456 2 3 4 33279 6 43407 8 33309 33276 11 16938
0,40635 40636 2 3 4 33294 6 34918 8 33431 33296 11 2357
0,54213 33939 2 3 4 33273 6 33336 8 33275 33455 11 33090
0,50616 35694 2 33365 4 33366 6 49482 8 33289 33408 33370 17423
0,75998 33353 2 33265 4 33266 6 33267 8 33268 33269 33270 12444
0,50524 35326 2 33265 4 33438 6 33280 8 33268 33269 33270 7871
0,74414 38393 33416 33614 33418 33366 6 38933 8 33289 33617 33618 24065
0,44316 36868 2 3 4 33307 6 33336 8 33275 33313 11 19066
0,51844 33954 2 3 4 33438 6 33336 8 33275 33455 11 8082
0,37958 34467 2 33265 4 33307 6 33280 8 33268 33313 33270 24310
0,46659 37764 2 33265 4 33366 6 35480 8 33268 34210 33270 33134
0,47962 36810 2 3 4 33279 6 33336 8 33275 33269 11 29307
0,71732 34291 2 33265 4 33307 6 33280 8 33268 33276 33270 14485
0,34769 33543 33521 33544 33523 33545 6 34770 8 33268 33290 33270 27328
0,76047 52348 33426 33621 33428 33621 6 33518 8 33289 33290 33430 2692
0,53236 39371 2 34181 4 36213 6 53237 8 33326 33904 33423 20474
0,62470 33819 2 3 4 33279 6 33336 8 33275 33313 11 32935
0,42836 42837 2 3 4 33438 6 33336 8 33275 33313 11 7386
0,65675 33399 2 3 4 33307 6 33336 8 33275 33313 11 28653
0,75328 37695 2 33365 4 36903 6 39377 8 33368 33408 33370 30315
0,51258 34051 2 33265 4 33279 6 33280 8 33268 33296 33270 17912
0,66504 34927 2 3 4 33568 6 33569 8 33275 33570 11 15754
0,42631 42632 33416 33529 33418 42633 6 33518 8 33289 33290 33430 24645
0,64114 44502 33357 33458 33359 33517 6 33478 8 9 33290 33430 27115
0,41747 34890 33299 33790 33301 34891 6 33518 8 33431 33290 33430 17599
0,66861 36529 2 3 4 33467 6 50264 8 9 33313 33628 20973
0,38520 34962 2 33265 4 33307 6 33280 8 33268 33313 33270 8413
0,52500 38848 33316 34024 33317 37199 6 33518 8 9 33290 33430 4838
